Player,touches,post_touches,post_fgm,post_fga,post_ftm,post_fta,post_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_post,post_pass_pct,post_ast_pct,post_to_pct,Foul%,possessions,Touches Per Poss,post_per_poss,season_year,player
Deandre Ayton,2671,73,27,46,5,6,60,14,1,4,3,0.587,0.8219,0.1918,0.0137,0.0548,0.0411,3996,0.6684,0.0183,2026,Deandre Ayton
DeAndre Jordan,241,1,0,0,1,2,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,411,0.5864,0.0024,2026,DeAndre Jordan
DeJon Jarreau,522,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,483,1.0807,0.0,2026,DeJon Jarreau
Dejounte Murray,932,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,809,1.152,0.0012,2026,Dejounte Murray
DeMar DeRozan,3327,219,46,92,29,36,130,96,21,6,19,0.5,0.5936,0.4384,0.0959,0.0274,0.0868,4975,0.6687,0.044,2026,DeMar DeRozan
Deni Avdija,5536,38,5,8,2,2,13,24,1,1,1,0.625,0.3421,0.6316,0.0263,0.0263,0.0263,4621,1.198,0.0082,2026,Deni Avdija
Dennis Schroder,3961,3,0,0,0,0,0,2,0,1,0,0.0,0.0,0.6667,0.0,0.3333,0.0,3464,1.1435,0.0009,2026,Dennis Schroder
Dennis Schr̦der,3961,3,0,0,0,0,0,2,0,1,0,0.0,0.0,0.6667,0.0,0.3333,0.0,3464,1.1435,0.0009,2026,Dennis Schrder
Dereck Lively II,170,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,247,0.6883,0.0,2026,Dereck Lively II
Derik Queen,4036,99,16,41,11,14,44,38,11,8,8,0.3902,0.4444,0.3838,0.1111,0.0808,0.0808,4268,0.9456,0.0232,2026,Derik Queen
Derrick Jones Jr.,1633,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2663,0.6132,0.0004,2026,Derrick Jones Jr.
Derrick White,5991,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5176,1.1575,0.0,2026,Derrick White
Desmond Bane,4869,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,5740,0.8483,0.0002,2026,Desmond Bane
Devin Booker,4112,57,9,23,6,6,25,22,9,5,3,0.3913,0.4386,0.386,0.1579,0.0877,0.0526,4452,0.9236,0.0128,2026,Devin Booker
Devin Carter,1469,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1435,1.0237,0.0007,2026,Devin Carter
Devin Vassell,2830,2,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4249,0.666,0.0005,2026,Devin Vassell
Dillon Brooks,2371,63,24,43,7,10,56,10,4,2,6,0.5581,0.8889,0.1587,0.0635,0.0317,0.0952,3500,0.6774,0.018,2026,Dillon Brooks
Dillon Jones,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.7531,0.0,2026,Dillon Jones
Domantas Sabonis,1212,42,5,16,5,6,15,16,4,7,3,0.3125,0.3571,0.381,0.0952,0.1667,0.0714,1182,1.0254,0.0355,2026,Domantas Sabonis
Dominick Barlow,1961,2,1,1,0,0,2,1,0,0,0,1.0,1.0,0.5,0.0,0.0,0.0,3493,0.5614,0.0006,2026,Dominick Barlow
Donovan Clingan,3230,23,7,9,4,6,19,7,4,4,3,0.7778,0.8261,0.3043,0.1739,0.1739,0.1304,4351,0.7424,0.0053,2026,Donovan Clingan
Donovan Mitchell,4842,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,4827,1.0031,0.0002,2026,Donovan Mitchell
Donte DiVincenzo,4422,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5136,0.861,0.0,2026,Donte DiVincenzo
Dorian Finney-Smith,741,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1244,0.5957,0.0,2026,Dorian Finney-Smith
Doug McDermott,570,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,906,0.6291,0.0,2026,Doug McDermott
Drake Powell,1847,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2637,0.7004,0.0,2026,Drake Powell
Draymond Green,4591,12,0,2,0,0,0,9,2,1,0,0.0,0.0,0.75,0.1667,0.0833,0.0,3766,1.2191,0.0032,2026,Draymond Green
Drew Eubanks,666,6,2,3,0,0,4,0,0,1,0,0.6667,0.6667,0.0,0.0,0.1667,0.0,1140,0.5842,0.0053,2026,Drew Eubanks
Drew Peterson,78,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.6094,0.0,2026,Drew Peterson
Drew Timme,374,16,3,10,0,0,6,5,0,1,0,0.3,0.375,0.3125,0.0,0.0625,0.0,458,0.8166,0.0349,2026,Drew Timme
Dru Smith,2247,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,2386,0.9417,0.0008,2026,Dru Smith
Duncan Robinson,2455,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4316,0.5688,0.0,2026,Duncan Robinson
