Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
Alperen Sengun,5121,468,145,242,36,52,342,160,46,19,25,0.5992,0.7308,0.3419,0.0983,0.0406,0.0534,4788,1.0695,0.0977,2026,Alperen Sengun
Amari Williams,174,25,8,15,2,4,19,6,1,0,2,0.5333,0.76,0.24,0.04,0.0,0.08,292,0.5959,0.0856,2026,Amari Williams
Amen Thompson,5788,545,184,265,54,74,435,194,44,29,35,0.6943,0.7982,0.356,0.0807,0.0532,0.0642,5880,0.9844,0.0927,2026,Amen Thompson
Amir Coffey,496,13,4,4,0,0,8,7,2,0,2,1.0,0.6154,0.5385,0.1538,0.0,0.1538,965,0.514,0.0135,2026,Amir Coffey
Andersson Garcia,209,26,3,7,0,0,6,15,1,3,0,0.4286,0.2308,0.5769,0.0385,0.1154,0.0,357,0.5854,0.0728,2026,Andersson Garcia
Andre Drummond,1430,307,107,201,23,42,242,60,13,17,19,0.5323,0.7883,0.1954,0.0423,0.0554,0.0619,2510,0.5697,0.1223,2026,Andre Drummond
Andre Jackson Jr.,823,49,7,19,2,2,16,25,2,2,1,0.3684,0.3265,0.5102,0.0408,0.0408,0.0204,825,0.9976,0.0594,2026,Andre Jackson Jr.
Andrew Nembhard,4984,33,12,19,0,0,24,11,2,1,0,0.6316,0.7273,0.3333,0.0606,0.0303,0.0,3728,1.3369,0.0089,2026,Andrew Nembhard
Andrew Wiggins,2828,148,60,98,8,12,133,34,9,6,6,0.6122,0.8986,0.2297,0.0608,0.0405,0.0405,4270,0.6623,0.0347,2026,Andrew Wiggins
Anfernee Simons,2456,22,6,8,0,0,13,13,0,1,0,0.75,0.5909,0.5909,0.0,0.0455,0.0,2736,0.8977,0.008,2026,Anfernee Simons
Anthony Black,3654,100,45,62,9,10,101,25,7,6,5,0.7258,1.01,0.25,0.07,0.06,0.05,3927,0.9305,0.0255,2026,Anthony Black
Anthony Davis,1128,146,73,108,20,28,168,10,3,9,14,0.6759,1.1507,0.0685,0.0205,0.0616,0.0959,1223,0.9223,0.1194,2026,Anthony Davis
Anthony Edwards,4333,50,17,33,9,10,41,8,3,2,5,0.5152,0.82,0.16,0.06,0.04,0.1,4382,0.9888,0.0114,2026,Anthony Edwards
Anthony Gill,1175,130,58,82,4,6,123,35,4,6,2,0.7073,0.9462,0.2692,0.0308,0.0462,0.0154,2011,0.5843,0.0646,2026,Anthony Gill
Antonio Reeves,70,2,0,0,0,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,130,0.5385,0.0154,2026,Antonio Reeves
Ariel Hukporti,519,129,31,51,18,22,81,51,7,10,11,0.6078,0.6279,0.3953,0.0543,0.0775,0.0853,987,0.5258,0.1307,2026,Ariel Hukporti
Asa Newell,658,72,32,44,5,10,71,18,4,2,5,0.7273,0.9861,0.25,0.0556,0.0278,0.0694,1063,0.619,0.0677,2026,Asa Newell
Ausar Thompson,2917,326,120,187,10,28,253,101,27,17,12,0.6417,0.7761,0.3098,0.0828,0.0521,0.0368,3791,0.7695,0.086,2026,Ausar Thompson
Austin Reaves,3705,43,14,19,6,6,35,16,4,3,3,0.7368,0.814,0.3721,0.093,0.0698,0.0698,3613,1.0255,0.0119,2026,Austin Reaves
