Player,oreb,oreb_contested,oreb_uncontested,oreb_chances,oreb_chances_deferred,dreb,dreb_contested,dreb_uncontested,dreb_chances,dreb_chances_deferred,season_year,player,oreb_contest_rate,dreb_contest_rate,total_rebs,rpv_proxy
Hunter Dickinson,2,1,1,4,1,3,2,1,6,2,2026,Hunter Dickinson,0.25,0.3333,5,3.5
Hunter Sallis,0,0,0,0,0,1,0,1,2,0,2026,Hunter Sallis,0.0,0.0,1,0.0
Hunter Tyson,4,2,2,21,0,32,10,22,47,5,2026,Hunter Tyson,0.0952,0.2128,36,13.0
Immanuel Quickley,38,4,34,107,3,241,29,212,406,37,2026,Immanuel Quickley,0.0374,0.0714,279,35.0
Isaac Jones,2,1,1,5,0,3,0,3,4,1,2026,Isaac Jones,0.2,0.0,5,1.5
Isaac Okoro,69,30,40,161,10,103,29,74,228,29,2026,Isaac Okoro,0.1863,0.1272,172,74.0
Isaiah Collier,20,5,15,71,0,129,25,103,224,22,2026,Isaiah Collier,0.0704,0.1116,149,32.5
Isaiah Crawford,3,3,0,9,0,13,6,7,16,0,2026,Isaiah Crawford,0.3333,0.375,16,10.5
Isaiah Hartenstein,149,107,43,345,14,294,97,197,484,56,2026,Isaiah Hartenstein,0.3101,0.2004,443,257.5
Isaiah Jackson,113,79,33,243,6,177,60,118,319,24,2026,Isaiah Jackson,0.3251,0.1881,290,178.5
Isaiah Joe,33,6,27,82,5,146,27,121,280,36,2026,Isaiah Joe,0.0732,0.0964,179,36.0
Isaiah Livers,19,8,11,49,5,42,14,28,68,4,2026,Isaiah Livers,0.1633,0.2059,61,26.0
Isaiah Stevens,2,0,2,3,0,1,0,1,3,1,2026,Isaiah Stevens,0.0,0.0,3,0.0
Isaiah Stewart,94,49,41,232,6,188,62,124,368,38,2026,Isaiah Stewart,0.2112,0.1685,282,135.5
Ivica Zubac,162,138,24,361,7,347,129,218,574,61,2026,Ivica Zubac,0.3823,0.2247,509,336.0
Ja Morant,8,4,4,34,4,57,6,50,83,8,2026,Ja Morant,0.1176,0.0723,65,12.0
Ja'Kobe Walter,56,25,31,133,3,129,26,102,231,20,2026,Ja'Kobe Walter,0.188,0.1126,185,63.5
Jabari Smith Jr.,103,58,45,264,7,415,123,292,655,45,2026,Jabari Smith Jr.,0.2197,0.1878,518,210.0
Jabari Walker,72,50,22,170,4,120,34,86,210,19,2026,Jabari Walker,0.2941,0.1619,192,109.0
Jacob Toppin,0,1,0,1,0,1,0,1,1,0,2026,Jacob Toppin,1.0,0.0,1,1.5
Jaden Hardy,15,5,10,32,3,71,11,60,132,14,2026,Jaden Hardy,0.1562,0.0833,86,18.5
Jaden Ivey,24,8,16,61,3,65,15,50,110,9,2026,Jaden Ivey,0.1311,0.1364,89,27.0
Jaden McDaniels,75,25,50,159,3,227,53,174,430,51,2026,Jaden McDaniels,0.1572,0.1233,302,90.5
Jae'Sean Tate,33,18,15,68,1,40,11,29,78,11,2026,Jae'Sean Tate,0.2647,0.141,73,38.0
Jahmai Mashack,23,18,5,72,6,58,14,44,134,12,2026,Jahmai Mashack,0.25,0.1045,81,41.0
Jahmir Young,2,1,1,3,0,2,0,2,3,0,2026,Jahmir Young,0.3333,0.0,4,1.5
Jahmyl Telfort,0,0,0,0,0,3,0,3,3,0,2026,Jahmyl Telfort,0.0,0.0,3,0.0
Jaime Jaquez Jr.,93,47,46,261,9,278,53,225,485,51,2026,Jaime Jaquez Jr.,0.1801,0.1093,371,123.5
Jake LaRavia,116,69,46,245,7,210,60,149,384,37,2026,Jake LaRavia,0.2816,0.1562,326,163.5
Jakob Poeltl,111,84,27,247,9,205,94,111,360,40,2026,Jakob Poeltl,0.3401,0.2611,316,220.0
Jalen Brunson,31,6,25,96,7,216,36,180,384,42,2026,Jalen Brunson,0.0625,0.0938,247,45.0
Jalen Duren,263,179,84,603,24,467,158,309,807,85,2026,Jalen Duren,0.2968,0.1958,730,426.5
Jalen Green,16,3,13,54,0,100,14,85,157,16,2026,Jalen Green,0.0556,0.0892,116,18.5
Jalen Johnson,101,54,46,300,11,639,174,466,913,68,2026,Jalen Johnson,0.18,0.1906,740,255.0
Jalen Pickett,18,7,11,59,3,96,21,74,153,16,2026,Jalen Pickett,0.1186,0.1373,114,31.5
Jalen Slawson,7,4,3,27,2,50,11,39,94,10,2026,Jalen Slawson,0.1481,0.117,57,17.0
Jalen Smith,98,68,30,197,4,257,93,164,433,51,2026,Jalen Smith,0.3452,0.2148,355,195.0
Jalen Suggs,36,12,24,76,3,184,34,150,313,31,2026,Jalen Suggs,0.1579,0.1086,220,52.0
Jalen Williams,27,10,17,73,3,125,36,89,197,18,2026,Jalen Williams,0.137,0.1827,152,51.0
