player,season_year,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct,def_rim_fga_per_poss,rim_protection_above_avg,dsv_proxy,possessions
Trayce Jackson-Davis,2026,17,24,79,71,126,0.5635,0.1173,0.102,62.35,1074
Tre Johnson,2026,33,18,141,98,134,0.7313,0.0434,-0.0658,58.68,3085
Tre Jones,2026,76,11,166,84,109,0.7706,0.0287,-0.1051,113.54,3804
Tre Mann,2026,25,5,72,48,62,0.7742,0.0462,-0.1087,35.76,1343
Trendon Watford,2026,16,22,137,72,109,0.6606,0.0595,0.0049,46.53,1833
Trentyn Flowers,2026,0,0,0,0,0,0.0,0.0,0.6655,0.0,11
Trevon Scott,2026,8,5,21,26,31,0.8387,0.0827,-0.1732,11.63,375
Trevor Keels,2026,1,0,2,0,0,0.0,0.0,0.6655,1.5,42
Trey Alexander,2026,6,2,10,5,8,0.625,0.0339,0.0405,11.32,236
Trey Jemison,2026,1,2,10,5,6,0.8333,0.0335,-0.1678,2.49,179
Trey Jemison III,2026,1,2,10,5,6,0.8333,0.0335,-0.1678,2.49,179
Trey Murphy III,2026,99,24,314,174,246,0.7073,0.0501,-0.0418,162.22,4911
Tristan da Silva,2026,68,25,226,128,170,0.7529,0.0432,-0.0874,112.14,3933
Tristan Enaruna,2026,5,0,7,8,10,0.8,0.0549,-0.1345,6.15,182
Tristan Vukcevic,2026,23,33,115,107,167,0.6407,0.1152,0.0248,71.64,1450
Tristen Newton,2026,1,0,1,1,1,1.0,0.0385,-0.3345,1.17,26
Ty Jerome,2026,16,4,31,25,31,0.8065,0.045,-0.141,23.63,689
Tyler Burton,2026,11,4,42,34,43,0.7907,0.066,-0.1252,15.12,652
Tyler Herro,2026,22,10,137,51,68,0.75,0.0333,-0.0845,37.25,2040
Tyler Kolek,2026,22,4,82,38,49,0.7755,0.0326,-0.11,31.61,1504
Tyler Smith,2026,6,0,21,10,18,0.5556,0.0504,0.1099,10.98,357
Tyrese Martin,2026,25,6,82,46,64,0.7188,0.0411,-0.0533,40.09,1559
Tyrese Maxey,2026,130,55,266,102,143,0.7133,0.026,-0.0478,243.16,5497
Tyrese Proctor,2026,25,0,53,33,43,0.7674,0.0377,-0.1019,33.12,1142
Tyson Etienne,2026,11,0,22,19,27,0.7037,0.0339,-0.0382,15.47,796
TyTy Washington Jr.,2026,6,3,5,10,11,0.9091,0.0601,-0.2436,9.32,183
Tyus Jones,2026,37,3,64,46,52,0.8846,0.0258,-0.2191,47.11,2018
Victor Wembanyama,2026,66,197,606,192,357,0.5378,0.0921,0.1277,341.59,3877
Vince Williams Jr.,2026,29,16,116,51,77,0.6623,0.045,0.0032,59.75,1711
Vit Krejci,2026,47,18,117,90,139,0.6475,0.0471,0.018,91.0,2949
VJ Edgecombe,2026,107,39,301,165,243,0.679,0.0447,-0.0135,196.22,5433
Vladislav Goldin,2026,0,3,6,3,11,0.2727,0.1833,0.3928,7.32,60
Vt Krej,2026,47,18,117,90,139,0.6475,0.0471,0.018,91.0,2949
Walker Kessler,2026,7,9,31,22,34,0.6471,0.11,0.0184,20.13,309
