Player,Touches,Elbow Touches,FGM,FGA,FTM,FTA,Points,Passes,Assists,Turnovers,Fouls,FG%,Points Per Elbow Touch,Pass%,Ast%,TO%,Foul%,Possessions,Touches Per Poss,Elbow Touches Per Poss,season_year
Chris Boucher,113,2,1,1,0,0,2,1,0,0,0,1.0,1.0,0.5,0.0,0.0,0.0,182,0.6209,0.011,2026
Chris Livingston,21,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.5833,0.0,2026
Chris MaÃ±on,57,2,0,0,0,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,90,0.6333,0.0222,2026
Chris Paul,510,6,0,0,0,0,0,6,1,0,0,0.0,0.0,1.0,0.1667,0.0,0.0,453,1.1258,0.0132,2026
Chris Youngblood,183,1,1,1,0,0,3,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,375,0.488,0.0027,2026
Christian Braun,2088,79,22,35,13,14,58,27,5,6,5,0.6286,0.7342,0.3418,0.0633,0.0759,0.0633,2908,0.718,0.0272,2026
Christian Koloko,412,23,1,6,3,6,5,12,1,2,3,0.1667,0.2174,0.5217,0.0435,0.087,0.1304,752,0.5479,0.0306,2026
Chucky Hepburn,31,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.24,0.0,2026
CJ Huntley,34,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84,0.4048,0.0,2026
CJ McCollum,4372,44,11,16,5,7,31,22,7,1,3,0.6875,0.7045,0.5,0.1591,0.0227,0.0682,4777,0.9152,0.0092,2026
Clint Capela,1182,92,14,25,10,18,38,53,13,3,8,0.56,0.413,0.5761,0.1413,0.0326,0.087,1842,0.6417,0.0499,2026
Coby White,2620,13,2,4,2,2,7,6,1,1,2,0.5,0.5385,0.4615,0.0769,0.0769,0.1538,2582,1.0147,0.005,2026
Cody Martin,73,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,114,0.6404,0.0088,2026
Cody Williams,2195,61,20,34,5,8,45,20,1,3,4,0.5882,0.7377,0.3279,0.0164,0.0492,0.0656,3457,0.6349,0.0176,2026
Colby Jones,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.7857,0.0,2026
Cole Anthony,1253,2,0,0,0,0,0,1,0,1,0,0.0,0.0,0.5,0.0,0.5,0.0,1051,1.1922,0.0019,2026
Colin Castleton,30,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.7143,0.0238,2026
Collin Gillespie,4813,40,4,5,1,2,11,32,10,1,1,0.8,0.275,0.8,0.25,0.025,0.025,4624,1.0409,0.0087,2026
Collin Murray-Boyles,1905,133,29,43,6,12,68,70,15,7,7,0.6744,0.5113,0.5263,0.1128,0.0526,0.0526,2508,0.7596,0.053,2026
Collin Sexton,3260,40,8,19,9,12,24,10,1,2,5,0.4211,0.6,0.25,0.025,0.05,0.125,3384,0.9634,0.0118,2026
Cooper Flagg,4511,70,25,36,14,14,66,23,3,3,7,0.6944,0.9429,0.3286,0.0429,0.0429,0.1,4674,0.9651,0.015,2026
Corey Kispert,1457,19,6,12,4,4,16,5,1,0,2,0.5,0.8421,0.2632,0.0526,0.0,0.1053,2287,0.6371,0.0083,2026
Cormac Ryan,394,4,1,3,2,2,4,0,0,0,1,0.3333,1.0,0.0,0.0,0.0,0.25,536,0.7351,0.0075,2026
Craig Porter Jr.,2221,45,9,14,2,2,20,26,9,2,1,0.6429,0.4444,0.5778,0.2,0.0444,0.0222,2343,0.9479,0.0192,2026
Curtis Jones,132,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,178,0.7416,0.0056,2026
D'Angelo Russell,1209,2,0,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,1051,1.1503,0.0019,2026
Daeqwon Plowden,1111,21,9,11,8,8,26,5,0,0,4,0.8182,1.2381,0.2381,0.0,0.0,0.1905,1736,0.64,0.0121,2026
Dalano Banton,130,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128,1.0156,0.0,2026
Dalen Terry,939,9,3,3,0,0,7,6,2,0,0,1.0,0.7778,0.6667,0.2222,0.0,0.0,1167,0.8046,0.0077,2026
Dalton Knecht,703,13,4,5,0,0,8,6,1,2,0,0.8,0.6154,0.4615,0.0769,0.1538,0.0,1116,0.6299,0.0116,2026
Daniel Gafford,1469,96,30,47,10,14,72,34,7,4,7,0.6383,0.75,0.3542,0.0729,0.0417,0.0729,2339,0.628,0.041,2026
Daniss Jenkins,3199,23,5,9,4,4,14,11,5,1,2,0.5556,0.6087,0.4783,0.2174,0.0435,0.087,2972,1.0764,0.0077,2026
Danny Wolf,2023,38,6,13,8,10,20,16,5,3,5,0.4615,0.5263,0.4211,0.1316,0.0789,0.1316,2367,0.8547,0.0161,2026
DaQuan Jeffries,52,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,116,0.4483,0.0086,2026
Dario Saric,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.4878,0.0,2026
Dario Å ariÄ‡,40,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.4878,0.0,2026
Dariq Whitehead,278,3,0,2,0,0,0,1,1,0,0,0.0,0.0,0.3333,0.3333,0.0,0.0,399,0.6967,0.0075,2026
Darius Brown,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.25,0.0,2026
Darius Garland,2809,8,3,4,0,0,6,3,2,1,0,0.75,0.75,0.375,0.25,0.125,0.0,2647,1.0612,0.003,2026
DaRon Holmes II,273,16,0,1,0,0,0,15,3,0,0,0.0,0.0,0.9375,0.1875,0.0,0.0,408,0.6691,0.0392,2026
David Jones Garcia,132,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,150,0.88,0.0067,2026
David Roddy,116,3,1,3,0,0,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,155,0.7484,0.0194,2026
Davion Mitchell,4421,13,2,3,0,0,4,9,3,0,0,0.6667,0.3077,0.6923,0.2308,0.0,0.0,4131,1.0702,0.0031,2026
Day'Ron Sharpe,2177,177,31,47,4,14,70,108,21,7,7,0.6596,0.3955,0.6102,0.1186,0.0395,0.0395,2330,0.9343,0.076,2026
De'Aaron Fox,4726,42,15,21,0,0,31,19,5,2,0,0.7143,0.7381,0.4524,0.119,0.0476,0.0,4691,1.0075,0.009,2026
De'Andre Hunter,1798,35,12,17,7,10,31,9,1,3,5,0.7059,0.8857,0.2571,0.0286,0.0857,0.1429,2432,0.7393,0.0144,2026
De'Anthony Melton,2437,44,5,10,0,0,10,29,6,3,0,0.5,0.2273,0.6591,0.1364,0.0682,0.0,2261,1.0778,0.0195,2026
Dean Wade,1681,37,10,14,7,8,27,16,2,1,4,0.7143,0.7297,0.4324,0.0541,0.027,0.1081,2708,0.6208,0.0137,2026
Deandre Ayton,2671,274,75,144,15,30,166,96,16,11,15,0.5208,0.6058,0.3504,0.0584,0.0401,0.0547,3996,0.6684,0.0686,2026
DeAndre Jordan,241,14,3,3,1,2,8,8,2,2,0,1.0,0.5714,0.5714,0.1429,0.1429,0.0,411,0.5864,0.0341,2026
DeJon Jarreau,522,11,3,4,0,0,6,6,1,0,0,0.75,0.5455,0.5455,0.0909,0.0,0.0,483,1.0807,0.0228,2026
Dejounte Murray,932,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,809,1.152,0.0012,2026
DeMar DeRozan,3327,107,22,45,14,16,59,50,8,2,8,0.4889,0.5514,0.4673,0.0748,0.0187,0.0748,4975,0.6687,0.0215,2026
Deni Avdija,5536,75,17,30,10,12,48,32,5,4,6,0.5667,0.64,0.4267,0.0667,0.0533,0.08,4621,1.198,0.0162,2026
Dennis Schroder,3961,10,2,3,0,0,4,7,2,0,0,0.6667,0.4,0.7,0.2,0.0,0.0,3464,1.1435,0.0029,2026
Dennis SchrÃ¶der,3961,10,2,3,0,0,4,7,2,0,0,0.6667,0.4,0.7,0.2,0.0,0.0,3464,1.1435,0.0029,2026
Dereck Lively II,170,14,1,4,0,2,2,8,4,1,1,0.25,0.1429,0.5714,0.2857,0.0714,0.0714,247,0.6883,0.0567,2026
Derik Queen,4036,112,30,50,13,16,76,43,7,8,8,0.6,0.6786,0.3839,0.0625,0.0714,0.0714,4268,0.9456,0.0262,2026
Derrick Jones Jr.,1633,34,13,19,6,6,34,11,4,0,3,0.6842,1.0,0.3235,0.1176,0.0,0.0882,2663,0.6132,0.0128,2026
Derrick White,5991,18,5,6,2,2,12,10,3,1,1,0.8333,0.6667,0.5556,0.1667,0.0556,0.0556,5176,1.1575,0.0035,2026
Desmond Bane,4869,40,16,26,0,0,34,10,0,3,0,0.6154,0.85,0.25,0.0,0.075,0.0,5740,0.8483,0.007,2026
Devin Booker,4112,47,15,25,0,0,32,19,5,2,0,0.6,0.6809,0.4043,0.1064,0.0426,0.0,4452,0.9236,0.0106,2026
Devin Carter,1469,10,3,4,0,0,6,4,2,0,0,0.75,0.6,0.4,0.2,0.0,0.0,1435,1.0237,0.007,2026
Devin Vassell,2830,33,5,8,4,6,15,21,8,1,3,0.625,0.4545,0.6364,0.2424,0.0303,0.0909,4249,0.666,0.0078,2026
Dillon Brooks,2371,18,7,10,0,0,15,4,0,2,1,0.7,0.8333,0.2222,0.0,0.1111,0.0556,3500,0.6774,0.0051,2026
Dillon Jones,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.7531,0.0,2026
Domantas Sabonis,1212,137,42,61,14,18,99,54,7,9,9,0.6885,0.7226,0.3942,0.0511,0.0657,0.0657,1182,1.0254,0.1159,2026
Dominick Barlow,1961,57,12,22,8,12,32,28,5,1,6,0.5455,0.5614,0.4912,0.0877,0.0175,0.1053,3493,0.5614,0.0163,2026
