player,team,minutes,off_poss,pts,fg2m,fg2a,Fg2Pct,fg3m,fg3a,Fg3Pct,non_heave_fg3_pct,ft_pts,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,assisted_2s_pct,NonPutbacksAssisted2sPct,assisted_3s_pct,fg3a_rate,shot_quality,efg_pct,ts_pct,pts_putbacks,fg2a_blocked,FG2APctBlocked,fg3a_blocked,FG3APctBlocked,usage,ppp,creation_rate
Josh Minott,BKN,76,149,28,9,13,0.6923076923076923,2,8,0.25,0.25,4,12,6,6,0,0.6666666666666666,0.6666666666666666,1.0,0.3809523809523809,0.5891404761904762,0.5714285714285714,0.6086956521739131,0,2,0.1538461538461538,0,0.0,14.285714285714286,0.1879,0.1667
Elijah Harkless,UTA,75,163,10,3,7,0.4285714285714285,0,7,0.0,0.0,4,6,0,0,0,1.0,1.0,0.0,0.5,0.5695428571428571,0.2142857142857142,0.2941176470588235,0,1,0.1428571428571428,0,0.0,10.112359550561798,0.0613,0.5
Jamal Shead,TOR,75,150,17,6,11,0.5454545454545454,1,9,0.1111111111111111,0.1111111111111111,2,6,6,3,0,0.5,0.5,1.0,0.45,0.5292475,0.375,0.4047619047619047,0,0,0.0,0,0.0,13.45029239766082,0.1133,0.25
Ethan Thompson,IND,75,153,25,3,7,0.4285714285714285,5,12,0.4166666666666667,0.4166666666666667,4,6,0,12,3,1.0,1.0,0.8,0.631578947368421,0.56745,0.5526315789473685,0.5952380952380952,0,1,0.1428571428571428,0,0.0,12.209302325581396,0.1634,0.1
Tyus Jones,ORL,74,154,15,2,8,0.25,3,7,0.4285714285714285,0.4285714285714285,2,4,0,9,0,1.0,1.0,1.0,0.4666666666666667,0.5474766666666666,0.4333333333333333,0.46875,0,0,0.0,0,0.0,9.63855421686747,0.0974,0.0
Bobby Portis,MIL,74,151,42,13,22,0.5909090909090909,5,10,0.5,0.5,1,16,10,15,0,0.6153846153846154,0.6666666666666666,1.0,0.3125,0.5058984375,0.640625,0.65625,2,2,0.0909090909090909,0,0.0,19.76744186046512,0.2781,0.1923
Myron Gardner,MIA,73,157,25,6,13,0.4615384615384615,4,8,0.5,0.5,1,6,6,12,0,0.5,0.75,1.0,0.3809523809523809,0.6020928571428572,0.5714285714285714,0.5952380952380952,4,3,0.2307692307692307,0,0.0,12.087912087912088,0.1592,0.25
Jordan Goodwin,PHX,70,135,18,3,5,0.6,4,14,0.2857142857142857,0.2857142857142857,0,2,4,12,0,0.3333333333333333,1.0,1.0,0.7368421052631579,0.5604894736842105,0.4736842105263157,0.4736842105263157,4,1,0.2,0,0.0,14.285714285714285,0.1333,0.3333
Day'Ron Sharpe,BKN,69,137,27,10,14,0.7142857142857143,0,1,0.0,0.0,7,8,12,0,0,0.4,0.5714285714285714,0.0,0.0666666666666666,0.5666033333333332,0.6666666666666666,0.675,6,0,0.0,0,0.0,17.880794701986755,0.1971,0.8
Devin Carter,SAC,69,139,30,7,13,0.5384615384615384,5,13,0.3846153846153846,0.3846153846153846,1,2,12,9,6,0.1428571428571428,0.1666666666666666,0.6,0.5,0.58865,0.5576923076923077,0.5769230769230769,2,0,0.0,0,0.0,18.633540372670808,0.2158,0.6286
Gabe Vincent,LAL,67,139,14,1,2,0.5,3,13,0.2307692307692307,0.2307692307692307,3,0,2,6,3,0.0,0.0,0.6666666666666666,0.8666666666666667,0.5669166666666665,0.3666666666666666,0.4375,0,0,0.0,2,0.1538461538461538,12.0,0.1007,0.6667
Steven Adams,HOU,65,124,13,4,7,0.5714285714285714,0,0,0.0,0.0,5,2,6,0,0,0.25,0.5,0.0,0.0,0.4924428571428572,0.5714285714285714,0.5,4,0,0.0,0,0.0,11.258278145695364,0.1048,0.875
John Konchar,UTA,64,136,11,3,5,0.6,1,5,0.2,0.2,2,2,4,0,3,0.3333333333333333,0.5,0.0,0.5,0.56594,0.45,0.5,2,0,0.0,0,0.0,7.894736842105263,0.0809,0.8333
DeAndre Jordan,NOP,63,127,12,5,8,0.625,0,0,0.0,0.0,2,8,2,0,0,0.8,1.0,0.0,0.0,0.5998375,0.625,0.6666666666666666,2,2,0.25,0,0.0,9.090909090909092,0.0945,0.6
Isaiah Joe,OKC,62,130,28,2,3,0.6666666666666666,6,13,0.4615384615384615,0.4615384615384615,6,2,2,18,0,0.5,0.5,1.0,0.8125,0.552775,0.6875,0.7368421052631579,0,0,0.0,0,0.0,13.47517730496454,0.2154,0.25
Mouhamed Gueye,ATL,62,128,35,7,12,0.5833333333333334,6,10,0.6,0.6,3,14,0,18,0,1.0,1.0,1.0,0.4545454545454545,0.6224431818181818,0.7272727272727273,0.7608695652173914,0,1,0.0833333333333333,0,0.0,17.687074829931973,0.2734,0.0
Bradley Beal,LAC,61,124,19,4,13,0.3076923076923077,3,9,0.3333333333333333,0.3333333333333333,2,6,2,9,0,0.75,0.75,1.0,0.4090909090909091,0.5121749999999999,0.3863636363636363,0.4130434782608695,0,1,0.0769230769230769,0,0.0,22.22222222222222,0.1532,0.125
Tim Hardaway Jr.,DEN,59,122,34,4,6,0.6666666666666666,7,18,0.3888888888888889,0.3888888888888889,5,8,0,21,0,1.0,1.0,1.0,0.75,0.5450208333333333,0.6041666666666666,0.6538461538461539,0,0,0.0,0,0.0,19.28571428571429,0.2787,0.0
