bbref_id,nba_id,player_name,source,confidence
dienggo01,203476,Gorgui Dieng,authoritative,high
diengou01,1631172,Ousmane Dieng,stub_reconstruction,high
dilliro01,1642265,Rob Dillingham,stub_reconstruction,high
dinwisp01,203915,Spencer Dinwiddie,authoritative,high
divindo01,1628978,Donte DiVincenzo,authoritative,high
doncilu01,1629029,Luka Doncic,authoritative,high
dorsety01,1628416,Tyler Dorsey,authoritative,high
dortlu01,1629652,Luguentz Dort,stub_reconstruction,high
dosunay01,1630245,Ayo Dosunmu,stub_reconstruction,high
dotsoda01,1628422,Damyean Dotson,authoritative,high
dotsode01,1629653,Devon Dotson,stub_reconstruction,high
doumbse01,1629635,Sekou Doumbouya,stub_reconstruction,high
dowtije01,1630288,Jeff Dowtin,stub_reconstruction,high
doziepj01,1628408,PJ Dozier,authoritative,high
dragigo01,201609,Goran Dragic,authoritative,high
drellhe01,1630929,Henri Drell,stub_reconstruction,high
drumman01,203083,Andre Drummond,authoritative,high
duartch01,1630537,Chris Duarte,stub_reconstruction,high
ducasal01,1642505,Alex Ducas,stub_reconstruction,high
dudleja01,201162,Jared Dudley,authoritative,high
dukeda01,1630561,David Duke Jr.,stub_reconstruction,high
dunnkr01,1627739,Kris Dunn,authoritative,high
dunnry01,1642346,Ryan Dunn,stub_reconstruction,high
duranke01,201142,Kevin Durant,authoritative,high
durenja01,1631105,Jalen Duren,stub_reconstruction,high
easonta01,1631106,Tari Eason,stub_reconstruction,high
edeyza01,1641744,Zach Edey,stub_reconstruction,high
edwaran01,1630162,Anthony Edwards,stub_reconstruction,high
edwarca01,1629035,Carsen Edwards,stub_reconstruction,high
edwarje01,1642399,Jesse Edwards,stub_reconstruction,high
edwarju01,1642348,Justin Edwards,stub_reconstruction,high
edwarke02,1630556,Kessler Edwards,stub_reconstruction,high
edwarro01,1630306,Rob Edwards,stub_reconstruction,high
ellebcj01,1629604,CJ Elleby,stub_reconstruction,high
ellenhe01,1627740,Henry Ellenson,authoritative,high
ellinwa01,201961,Wayne Ellington,authoritative,high
elliske01,1631165,Keon Ellis,stub_reconstruction,high
embiijo01,203954,Joel Embiid,authoritative,high
ennisja01,203516,James Ennis III,authoritative,high
etienty01,1630623,Tyson Etienne,stub_reconstruction,high
eubandr01,1629234,Drew Eubanks,authoritative,high
evbuoto01,1641787,Tosan Evbuomwan,stub_reconstruction,high
exumda01,203957,Dante Exum,authoritative,high
fallta01,1629605,Tacko Fall,stub_reconstruction,high
favorde01,202324,Derrick Favors,authoritative,high
feliccr01,1626245,Cristiano Felicio,authoritative,high
fergute01,1628390,Terrance Ferguson,authoritative,high
fernabr01,1628981,Bruno Fernando,stub_reconstruction,high
ferreyo01,1627812,Yogi Ferrell,authoritative,high
filipky01,1642271,Kyle Filipowski,stub_reconstruction,high
finnedo01,1627827,Dorian Finney-Smith,authoritative,high
fittsma01,1630238,Malik Fitts,stub_reconstruction,high
flaglad01,1641745,Adam Flagler,stub_reconstruction,high
flowetr01,1642280,Trentyn Flowers,stub_reconstruction,high
flynnma01,1630201,Malachi Flynn,stub_reconstruction,high
fontesi01,1631323,Simone Fontecchio,stub_reconstruction,high
forbebr01,1627854,Bryn Forbes,authoritative,high
fordal03,1630758,Aleem Ford,stub_reconstruction,high
fordjo01,1630259,Jordan Ford,stub_reconstruction,high
forretr01,1630235,Trent Forrest,stub_reconstruction,high
fournev01,203095,Evan Fournier,authoritative,high
foxde01,1628368,De'Aaron Fox,authoritative,high
frankro01,1629606,Robert Franks,stub_reconstruction,high
frazime01,1628982,Melvin Frazier Jr.,authoritative,high
fraziti01,204025,Tim Frazier,authoritative,high
freemen01,1642402,Enrique Freeman,stub_reconstruction,high
freemja01,1631241,Javon Freeman-Liberty,stub_reconstruction,high
fudgeal01,1641788,Alex Fudge,stub_reconstruction,high
fultzma01,1628365,Markelle Fultz,authoritative,high
funkan01,1641847,Andrew Funk,stub_reconstruction,high
furphjo01,1642277,Johnny Furphy,stub_reconstruction,high
gabriwe01,1629117,Wenyen Gabriel,stub_reconstruction,high
gaffoda01,1629655,Daniel Gafford,stub_reconstruction,high
gallida01,201568,Danilo Gallinari,authoritative,high
gallola01,204038,Langston Galloway,authoritative,high
garlada01,1629636,Darius Garland,stub_reconstruction,high
garrema01,1630585,Marcus Garrett,stub_reconstruction,high
garubus01,1630586,Usman Garuba,stub_reconstruction,high
garzalu01,1630568,Luka Garza,stub_reconstruction,high
gasolma01,201188,Marc Gasol,authoritative,high
gayru01,200752,Rudy Gay,authoritative,high
georgke01,1641718,Keyonte George,stub_reconstruction,high
georgky01,1642273,Kyshawn George,stub_reconstruction,high
georgpa01,202331,Paul George,authoritative,high
gibsota01,201959,Taj Gibson,authoritative,high
giddejo01,1630581,Josh Giddey,stub_reconstruction,high
gilesha01,1628385,Harry Giles III,authoritative,high
gilgesh01,1628983,Shai Gilgeous-Alexander,authoritative,high
gillan01,1630264,Anthony Gill,stub_reconstruction,high
gilleco01,1631221,Collin Gillespie,stub_reconstruction,high
gillefr01,1630273,Freddie Gillespie,stub_reconstruction,high
gilyaja01,1631367,Jacob Gilyard,stub_reconstruction,high
goberru01,203497,Rudy Gobert,authoritative,high
goodwbr01,1629164,Brandon Goodwin,authoritative,high
goodwjo01,1630692,Jordan Goodwin,stub_reconstruction,high
gordoaa01,203932,Aaron Gordon,authoritative,high
gordoer01,201569,Eric Gordon,authoritative,high
gortmja01,1641789,Jazian Gortman,stub_reconstruction,high
grahade01,1628984,Devonte' Graham,authoritative,high
grantje01,203924,Jerami Grant,authoritative,high
graveha01,1629755,Hassani Gravett,stub_reconstruction,high
grayra01,1630564,RaiQuan Gray,stub_reconstruction,high
greenaj01,1631260,AJ Green,stub_reconstruction,high
greenda02,201980,Danny Green,authoritative,high
greendr01,203110,Draymond Green,authoritative,high
greenja01,203210,JaMychal Green,authoritative,high
greenje02,201145,Jeff Green,authoritative,high
greenjo02,1630182,Josh Green,stub_reconstruction,high
griffaj01,1631100,AJ Griffin,stub_reconstruction,high
griffbl01,201933,Blake Griffin,authoritative,high
grimequ01,1629656,Quentin Grimes,stub_reconstruction,high
guyky01,1629657,Kyle Guy,stub_reconstruction,high
hachiru01,1629060,Rui Hachimura,stub_reconstruction,high
haganas01,1630204,Ashton Hagans,stub_reconstruction,high
halibty01,1630169,Tyrese Haliburton,stub_reconstruction,high
halldo01,1629743,Donta Hall,stub_reconstruction,high
hallpj01,1641790,PJ Hall,stub_reconstruction,high
hamptrj01,1630181,R.J. Hampton,stub_reconstruction,high
hardati02,203501,Tim Hardaway Jr.,authoritative,high
hardeja01,201935,James Harden,authoritative,high
hardyja02,1630702,Jaden Hardy,stub_reconstruction,high
harklma01,203090,Maurice Harkless,authoritative,high
harpeja01,1629607,Jared Harper,stub_reconstruction,high
harpero02,1631199,Ron Harper Jr.,stub_reconstruction,high
harremo01,1626149,Montrezl Harrell,authoritative,high
harriga01,203914,Gary Harris,authoritative,high
harrija01,1630223,Jalen Harris,stub_reconstruction,high
harrijo01,203925,Joe Harris,authoritative,high
harrike01,1630284,Kevon Harris,stub_reconstruction,high
harrish01,1627885,Shaquille Harrison,authoritative,high
harrito02,202699,Tobias Harris,authoritative,high
harteis01,1628392,Isaiah Hartenstein,authoritative,high
hartjo01,1628404,Josh Hart,authoritative,high
hasleud01,2617,Udonis Haslem,authoritative,high
hausesa01,1630573,Sam Hauser,stub_reconstruction,high
hawkijo01,1641722,Jordan Hawkins,stub_reconstruction,high
hayesja02,1629637,Jaxson Hayes,stub_reconstruction,high
hayeski01,1630165,Killian Hayes,stub_reconstruction,high
haywago01,202330,Gordon Hayward,authoritative,high
hendesc01,1630703,Scoot Henderson,stub_reconstruction,high
hendrta01,1641707,Taylor Hendricks,stub_reconstruction,high
henryaa01,1630565,Aaron Henry,stub_reconstruction,high
hernaju01,1627823,Juancho Hernangomez,authoritative,high
hernawi01,1626195,Willy Hernangomez,authoritative,high
herroty01,1629639,Tyler Herro,stub_reconstruction,high
hieldbu01,1627741,Buddy Hield,authoritative,high
highsha01,1629312,Haywood Highsmith,authoritative,high
hillge01,201588,George Hill,authoritative,high
hillma01,1630792,Malcolm Hill,stub_reconstruction,high
hillso01,203524,Solomon Hill,authoritative,high
hintona01,1630207,Nate Hinton,stub_reconstruction,high
hoardja01,1629658,Jaylen Hoard,stub_reconstruction,high
hodgedm01,1641793,D'Moi Hodge,stub_reconstruction,high
holidaa01,1628988,Aaron Holiday,authoritative,high
holidjr01,201950,Jrue Holiday,authoritative,high
holidju01,203200,Justin Holiday,authoritative,high
hollaro01,1641842,Ronald Holland II,stub_reconstruction,high
holliro01,1626178,Rondae Hollis-Jefferson,authoritative,high
holmeri01,1626158,Richaun Holmes,authoritative,high
holmgch01,1631096,Chet Holmgren,stub_reconstruction,high
hoodro01,203918,Rodney Hood,authoritative,high
hoodsja01,1641720,Jalen Hood-Schifino,stub_reconstruction,high
hopsosc01,203816,Scotty Hopson,authoritative,high
horfoal01,201143,Al Horford,authoritative,high
hortota01,1629659,Talen Horton-Tucker,stub_reconstruction,high
houseda01,1627863,Danuel House Jr.,authoritative,high
houstca01,1631216,Caleb Houstan,stub_reconstruction,high
howardw01,2730,Dwight Howard,authoritative,high
howarje01,1641724,Jett Howard,stub_reconstruction,high
howarma02,1630210,Markus Howard,stub_reconstruction,high
hudgitr01,1631309,Trevor Hudgins,stub_reconstruction,high
huertke01,1628989,Kevin Huerter,authoritative,high
huffja01,1630643,Jay Huff,stub_reconstruction,high
hugheel01,1630190,Elijah Hughes,stub_reconstruction,high
hukpoar01,1630574,Ariel Hukporti,stub_reconstruction,high
huntede01,1629631,De'Andre Hunter,stub_reconstruction,high
huntfe01,1630624,Feron Hunt,stub_reconstruction,high
hurtma01,1630562,Matt Hurt,stub_reconstruction,high
hutchch01,1628990,Chandler Hutchison,authoritative,high
hylanbo01,1630538,Bones Hyland,stub_reconstruction,high
ibakase01,201586,Serge Ibaka,authoritative,high
ighodos01,1642345,Oso Ighodaro,stub_reconstruction,high
iguodan01,2738,Andre Iguodala,authoritative,high
ilyaser01,101141,Ersan Ilyasova,authoritative,high
inglejo01,204060,Joe Ingles,authoritative,high
ingrabr01,1627742,Brandon Ingram,authoritative,high
ingraha01,1631127,Harrison Ingram,stub_reconstruction,high
irvinky01,202681,Kyrie Irving,authoritative,high
isaacjo01,1628371,Jonathan Isaac,authoritative,high
iveyja01,1631093,Jaden Ivey,stub_reconstruction,high
iwundwe01,1628411,Wes Iwundu,authoritative,high
jacksan01,1641748,Andre Jackson Jr.,stub_reconstruction,high
jacksfr01,1628402,Frank Jackson,authoritative,high
jacksgg01,1641713,GG Jackson,stub_reconstruction,high
jacksis01,1630543,Isaiah Jackson,stub_reconstruction,high
jacksja02,1628991,Jaren Jackson Jr.,authoritative,high
jacksjo02,1628367,Josh Jackson,authoritative,high
jacksju01,1628382,Justin Jackson,authoritative,high
jacksqu01,1631245,Quenton Jackson,stub_reconstruction,high
jacksre01,202704,Reggie Jackson,authoritative,high
jackstr02,1631218,Trayce Jackson-Davis,stub_reconstruction,high
jamesbr02,1642355,Bronny James,stub_reconstruction,high
jamesju01,1629713,Justin James,stub_reconstruction,high
jamesle01,2544,LeBron James,authoritative,high
jamesmi02,1628455,Mike James,authoritative,high
jaqueja01,1631170,Jaime Jaquez Jr.,stub_reconstruction,high
