entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz
2199,2017,,,,,,,,,,,,,,,,,,,200.0,144.0,,0.0,0.0,202.0,0.7128,0.99,0.0,2.74,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2199,2019,,,,,,,,,,,,,,,,,,,97.0,61.0,1.0,1.0,0.0,99.0,0.6162,0.9798,0.0101,0.1162,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
2199,2020,,,,,,,,,,,,,,,,,,,18.0,14.0,0.0,0.0,0.0,18.0,0.7778,1.0,0.0,0.2778,,,,,shot_zones,low,,,,,,,,,,,,,,,,,
2200,2014,,,,,,,,,,,,,,,,,,,470.0,277.0,,14.0,4.0,827.0,0.5151,0.5683,0.0169,0.575,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2200,2015,,,,,,,,,,,,,,,,,,,386.0,217.0,,69.0,24.0,936.0,0.5117,0.4124,0.0737,-1.396,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2200,2016,,,,,,,,,,,,,,,,,,,386.0,217.0,,69.0,24.0,936.0,0.5117,0.4124,0.0737,-1.396,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2200,2017,,,,,,,,,,,,,,,,,,,253.0,150.0,,104.0,56.0,562.0,0.5872,0.4502,0.1851,0.909,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2200,2019,,,,,,,,,,,,,,,,,,,52.0,25.0,29.0,13.0,6.0,94.0,0.4787,0.5532,0.1383,-0.0213,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
2203,2014,,,,,,,,,,,,,,,,,,,50.0,30.0,,209.0,73.0,269.0,0.526,0.1859,0.7769,-0.95,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2207,2014,,,,,,,,,,,,,,,,,,,289.0,163.0,,391.0,155.0,982.0,0.5361,0.2943,0.3982,-0.387,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
