entity_id,entity_type,season,season_type,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def
1641706,player,2023-24,RegularSeason,2346.84,4737,4727,539,127,300,66,83,325,148,28,35,42,2583,2843,172,10,37,323,219,447,66,41,238,346,3972,2342,207.3,35,12,20,0,0,25,9,1,3,1,94,37,57,3,4,80,27,8,3,3,4,0,1,0,0,0,2,1,1,0,60,26,33,140,3,248,54,191,444,54,945035,178.98,97.14,81.84
1628371,player,2023-24,RegularSeason,914.64,1798,1831,22,4,11,4,6,13,8,2,0,3,889,547,30,1,2,44,33,72,43,70,69,131,1256,576,27.9,23,7,12,2,4,16,6,1,1,2,143,72,108,15,22,163,11,1,9,11,5,1,3,1,2,3,1,0,0,1,73,55,17,162,4,187,51,127,295,30,372744,70.58,38.16,32.44
1629232,player,2023-24,RegularSeason,7.43,16,17,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,1,14,7,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,3522,0.67,0.35,0.32
1641775,player,2023-24,RegularSeason,83.46,165,166,7,0,0,0,0,0,5,1,2,0,61,47,5,0,1,11,6,13,5,1,4,6,83,53,2.5,1,1,1,0,0,2,0,0,0,0,4,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,9,1,15,1,13,20,0,33075,6.25,3.4,2.87
1628981,player,2023-24,RegularSeason,682.3,1366,1382,33,11,21,6,8,31,5,1,3,4,618,610,46,3,5,77,54,121,25,28,98,152,890,654,21.5,114,28,45,8,14,65,53,8,7,6,200,74,115,39,54,189,41,9,12,26,23,7,10,6,8,20,4,1,2,4,59,36,20,154,2,134,52,80,236,24,260585,49.35,25.54,23.84
1630540,player,2023-24,RegularSeason,1327.71,2564,2585,237,43,94,10,10,98,127,24,8,5,1644,1830,114,9,25,206,146,302,50,7,61,100,2226,1032,157.3,16,1,6,2,2,5,7,1,2,1,31,6,14,0,0,13,13,0,3,0,0,0,0,0,0,0,0,0,0,0,31,9,22,69,6,68,14,54,150,18,546692,103.52,55.25,48.27
203109,player,2023-24,RegularSeason,1155.67,2384,2388,43,13,30,1,2,27,12,3,0,1,1106,793,66,4,9,114,78,172,38,9,57,79,1431,737,33.9,12,5,6,0,0,10,5,2,1,0,64,23,35,4,4,50,23,3,3,2,0,0,0,0,0,0,0,0,0,0,31,16,14,92,3,130,26,100,214,13,457554,86.64,45.56,41.07
1630224,player,2023-24,RegularSeason,2601.44,5340,5302,775,185,400,127,156,519,211,51,62,79,3073,3525,291,37,63,505,390,753,66,28,134,191,4904,2066,355.4,31,11,15,4,4,27,8,1,2,2,70,29,45,12,12,73,14,2,2,6,0,0,0,0,0,0,0,0,0,0,41,21,20,150,8,382,65,313,591,53,1049474,198.76,109.53,89.23
1641754,player,2023-24,RegularSeason,51.98,105,109,4,0,2,2,2,2,1,0,0,1,32,31,0,1,0,2,1,2,0,0,6,10,53,29,1.4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,6,1,5,10,1,21330,4.05,2.05,1.98
1630550,player,2023-24,RegularSeason,768.13,1557,1561,59,10,29,5,8,25,22,1,2,4,787,539,29,1,2,60,32,76,11,27,72,113,1017,524,24.9,13,7,8,0,0,14,5,1,0,0,63,21,39,2,6,45,15,3,4,3,0,0,0,0,0,0,0,0,0,0,43,27,15,85,2,102,29,71,173,20,322181,61.01,33.24,27.78
