entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence
101108,2020,,,,,,,,,,,,,,,,,,,151.0,88.0,432.0,304.0,111.0,887.0,0.5518602029312288,0.1702367531003382,0.342728297632469,0.0518602029312288,,,,,shot_zones,high
101108,2021,,,,,,,,,,,,,,,,,,,122.0,72.0,494.0,254.0,101.0,870.0,0.5568965517241379,0.1402298850574712,0.2919540229885057,0.0568965517241378,,,,,shot_zones,high
101108,2022,761.0,0.5216819973718791,0.0919833178869323,838.0,0.1941612604263206,16.0,16.0,11.0,4802.0,0.0089546022490628,19.0,251.0,5.0,47.0,0.1097046413502109,101.0,137.0,0.7372262773722628,,,,,,,,,,,4316.0,2104.59,119.0,19.0,tracking,high
101108,2023,567.0,0.4514991181657848,0.0675461741424802,646.0,0.1704485488126649,16.0,19.0,12.0,4394.0,0.0106964041875284,27.0,224.0,6.0,38.0,0.1062801932367149,100.0,130.0,0.7692307692307693,,,,,,,,,,,3790.0,1888.61,91.0,22.0,tracking,high
101108,2024,305.0,0.4852459016393443,0.0486202365308804,463.0,0.1521024967148488,47.0,22.0,33.0,3349.0,0.0304568527918781,18.0,203.0,0.0,41.0,0.1022443890274314,80.0,106.0,0.7547169811320755,,,,,,,,,,,3044.0,1501.68,67.0,6.0,tracking,high
101109,2019,,,,,,,,,,,,,,,,,,,28.0,14.0,46.0,61.0,20.0,135.0,0.4814814814814814,0.2074074074074074,0.4518518518518518,-0.0185185185185185,,,,,shot_zones,high
101112,2019,,,,,,,,,,,,,,,,,,,16.0,7.0,21.0,79.0,32.0,116.0,0.5086206896551724,0.1379310344827586,0.6810344827586207,0.0086206896551723,,,,,shot_zones,high
101123,2019,,,,,,,,,,,,,,,,,,,89.0,56.0,47.0,440.0,156.0,576.0,0.5364583333333334,0.1545138888888889,0.7638888888888888,0.0364583333333333,,,,,shot_zones,high
101133,2019,,,,,,,,,,,,,,,,,,,87.0,44.0,2.0,16.0,3.0,105.0,0.4619047619047619,0.8285714285714286,0.1523809523809524,-0.038095238095238,,,,,shot_zones,high
101133,2020,,,,,,,,,,,,,,,,,,,179.0,97.0,6.0,26.0,5.0,211.0,0.504739336492891,0.8483412322274881,0.1232227488151658,0.004739336492891,,,,,shot_zones,high
101139,2019,,,,,,,,,,,,,,,,,,,60.0,25.0,46.0,203.0,67.0,309.0,0.470873786407767,0.1941747572815534,0.656957928802589,-0.0291262135922329,,,,,shot_zones,high
101139,2020,,,,,,,,,,,,,,,,,,,18.0,7.0,6.0,35.0,11.0,59.0,0.4152542372881356,0.3050847457627119,0.5932203389830508,-0.0847457627118644,,,,,shot_zones,high
101139,2022,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,5.0,1.95,0.0,0.0,tracking,low
101141,2019,,,,,,,,,,,,,,,,,,,168.0,92.0,54.0,160.0,58.0,382.0,0.5130890052356021,0.4397905759162304,0.418848167539267,0.013089005235602,,,,,shot_zones,high
101141,2020,,,,,,,,,,,,,,,,,,,134.0,75.0,37.0,135.0,50.0,306.0,0.5555555555555556,0.4379084967320261,0.4411764705882353,0.0555555555555555,,,,,shot_zones,high
101141,2021,,,,,,,,,,,,,,,,,,,6.0,2.0,7.0,41.0,18.0,54.0,0.5555555555555556,0.1111111111111111,0.7592592592592593,0.0555555555555555,,,,,shot_zones,high
101150,2019,,,,,,,,,,,,,,,,,,,419.0,199.0,426.0,292.0,105.0,1137.0,0.4718557607739665,0.3685136323658751,0.256816182937555,-0.0281442392260334,,,,,shot_zones,high
101150,2020,,,,,,,,,,,,,,,,,,,300.0,153.0,319.0,314.0,111.0,933.0,0.4785637727759914,0.3215434083601286,0.3365487674169346,-0.0214362272240085,,,,,shot_zones,high
101150,2021,,,,,,,,,,,,,,,,,,,190.0,91.0,284.0,173.0,69.0,647.0,0.4629057187017001,0.2936630602782071,0.267387944358578,-0.0370942812982998,,,,,shot_zones,high
101150,2022,276.0,0.4456521739130434,0.0766355140186915,135.0,0.0841121495327102,3.0,15.0,0.0,1328.0,0.0135542168674698,16.0,71.0,6.0,10.0,0.1142857142857142,33.0,40.0,0.825,,,,,,,,,,,1605.0,798.91,28.0,3.0,tracking,high
101161,2019,,,,,,,,,,,,,,,,,,,109.0,63.0,6.0,40.0,12.0,155.0,0.5483870967741935,0.7032258064516129,0.2580645161290322,0.0483870967741935,,,,,shot_zones,high
101162,2019,,,,,,,,,,,,,,,,,,,150.0,84.0,36.0,0.0,0.0,186.0,0.532258064516129,0.8064516129032258,0.0,0.032258064516129,,,,,shot_zones,high
101181,2019,,,,,,,,,,,,,,,,,,,18.0,9.0,45.0,57.0,14.0,120.0,0.4333333333333333,0.15,0.475,-0.0666666666666666,,,,,shot_zones,high
200746,2019,,,,,,,,,,,,,,,,,,,632.0,393.0,643.0,42.0,10.0,1317.0,0.5231586940015186,0.4798785117691723,0.0318906605922551,0.0231586940015185,,,,,shot_zones,high
200746,2020,,,,,,,,,,,,,,,,,,,240.0,148.0,382.0,154.0,60.0,776.0,0.5322164948453608,0.3092783505154639,0.1984536082474226,0.0322164948453608,,,,,shot_zones,high
200746,2021,,,,,,,,,,,,,,,,,,,74.0,42.0,142.0,80.0,31.0,296.0,0.5253378378378378,0.25,0.2702702702702703,0.0253378378378378,,,,,shot_zones,high
200746,2022,16.0,0.9375,0.006967022758941,53.0,0.0246168137482582,179.0,187.0,124.0,1639.0,0.2989627821842587,73.0,185.0,45.0,65.0,0.2310924369747899,108.0,181.0,0.5966850828729282,,,,,,,,,,,2153.0,1050.13,14.0,47.0,tracking,high
200752,2019,,,,,,,,,,,,,,,,,,,312.0,172.0,250.0,184.0,74.0,746.0,0.5536193029490617,0.4182305630026809,0.2466487935656836,0.0536193029490617,,,,,shot_zones,high
200752,2020,,,,,,,,,,,,,,,,,,,175.0,97.0,192.0,217.0,74.0,584.0,0.5136986301369864,0.2996575342465753,0.3715753424657534,0.0136986301369863,,,,,shot_zones,high
200752,2021,,,,,,,,,,,,,,,,,,,138.0,73.0,210.0,278.0,106.0,626.0,0.5063897763578274,0.2204472843450479,0.4440894568690096,0.0063897763578274,,,,,shot_zones,high
200752,2022,89.0,0.4831460674157303,0.020603737422137,71.0,0.0340201245807379,38.0,78.0,54.0,1749.0,0.0971983990851915,55.0,187.0,32.0,53.0,0.2141057934508816,77.0,102.0,0.7549019607843137,,,,,,,,,,,2087.0,1038.26,25.0,19.0,tracking,high
200752,2023,69.0,0.8985507246376812,0.0364491475602586,72.0,0.0423280423280423,37.0,52.0,47.0,1320.0,0.103030303030303,33.0,130.0,20.0,35.0,0.1903114186851211,54.0,84.0,0.6428571428571429,,,,,,,,,,,1701.0,815.54,19.0,18.0,tracking,high
200755,2019,,,,,,,,,,,,,,,,,,,122.0,65.0,297.0,595.0,236.0,1014.0,0.5552268244575936,0.1203155818540434,0.5867850098619329,0.0552268244575936,,,,,shot_zones,high
200755,2020,,,,,,,,,,,,,,,,,,,69.0,34.0,164.0,394.0,179.0,627.0,0.5972886762360446,0.1100478468899521,0.6283891547049442,0.0972886762360446,,,,,shot_zones,high
200755,2021,,,,,,,,,,,,,,,,,,,9.0,5.0,80.0,178.0,66.0,267.0,0.5205992509363296,0.0337078651685393,0.6666666666666666,0.0205992509363296,,,,,shot_zones,high
200757,2019,,,,,,,,,,,,,,,,,,,50.0,28.0,18.0,78.0,34.0,146.0,0.589041095890411,0.3424657534246575,0.5342465753424658,0.0890410958904109,,,,,shot_zones,high
200757,2020,,,,,,,,,,,,,,,,,,,29.0,20.0,8.0,54.0,15.0,91.0,0.489010989010989,0.3186813186813186,0.5934065934065934,-0.010989010989011,,,,,shot_zones,high
200765,2019,,,,,,,,,,,,,,,,,,,215.0,99.0,75.0,142.0,51.0,432.0,0.4641203703703703,0.4976851851851852,0.3287037037037037,-0.0358796296296296,,,,,shot_zones,high
200765,2020,,,,,,,,,,,,,,,,,,,148.0,75.0,54.0,125.0,41.0,327.0,0.481651376146789,0.4525993883792049,0.382262996941896,-0.018348623853211,,,,,shot_zones,high
200765,2021,,,,,,,,,,,,,,,,,,,105.0,51.0,21.0,89.0,36.0,215.0,0.5255813953488372,0.4883720930232558,0.413953488372093,0.0255813953488371,,,,,shot_zones,high
200765,2022,190.0,0.3368421052631579,0.0443520443520443,192.0,0.133056133056133,14.0,23.0,1.0,1733.0,0.0219272937103289,15.0,93.0,4.0,10.0,0.075268817204301,23.0,32.0,0.71875,,,,,,,,,,,1443.0,697.9,30.0,6.0,tracking,high
200768,2019,,,,,,,,,,,,,,,,,,,176.0,104.0,110.0,453.0,157.0,739.0,0.5175913396481732,0.2381596752368065,0.6129905277401895,0.0175913396481731,,,,,shot_zones,high
200768,2020,,,,,,,,,,,,,,,,,,,233.0,131.0,99.0,456.0,158.0,788.0,0.5114213197969543,0.2956852791878173,0.5786802030456852,0.0114213197969542,,,,,shot_zones,high
200768,2021,,,,,,,,,,,,,,,,,,,157.0,88.0,107.0,331.0,131.0,595.0,0.5470588235294118,0.2638655462184874,0.5563025210084034,0.0470588235294118,,,,,shot_zones,high
200768,2022,452.0,0.4203539823008849,0.0444028978733348,559.0,0.130637999532601,33.0,55.0,10.0,5127.0,0.0191144919055978,33.0,249.0,13.0,42.0,0.089430894308943,137.0,192.0,0.7135416666666666,,,,,,,,,,,4279.0,2133.19,67.0,17.0,tracking,high
200768,2023,351.0,0.4444444444444444,0.0455341506129597,334.0,0.0974897840046701,18.0,52.0,5.0,3828.0,0.0195924764890282,43.0,182.0,17.0,30.0,0.091796875,108.0,147.0,0.7346938775510204,,,,,,,,,,,3426.0,1717.74,57.0,21.0,tracking,high
200768,2024,286.0,0.3041958041958042,0.0262522631261315,296.0,0.0893180446590223,18.0,51.0,4.0,3315.0,0.0220211161387632,33.0,153.0,13.0,29.0,0.0967741935483871,116.0,148.0,0.7837837837837838,,,,,,,,,,,3314.0,1666.63,58.0,21.0,tracking,high
200782,2019,,,,,,,,,,,,,,,,,,,122.0,58.0,14.0,387.0,146.0,523.0,0.5353728489483748,0.2332695984703633,0.739961759082218,0.0353728489483747,,,,,shot_zones,high
200782,2020,,,,,,,,,,,,,,,,,,,100.0,56.0,27.0,299.0,107.0,426.0,0.5410798122065728,0.2347417840375587,0.7018779342723005,0.0410798122065727,,,,,shot_zones,high
200782,2021,,,,,,,,,,,,,,,,,,,50.0,22.0,8.0,115.0,37.0,173.0,0.4710982658959537,0.2890173410404624,0.6647398843930635,-0.0289017341040462,,,,,shot_zones,high
200782,2022,81.0,0.5925925925925926,0.0123234916559691,178.0,0.0456996148908857,84.0,193.0,28.0,2409.0,0.1266085512660855,100.0,287.0,61.0,79.0,0.1851851851851851,95.0,147.0,0.6462585034013606,,,,,,,,,,,3895.0,1980.76,58.0,15.0,tracking,high
