name_slug,name,season_year,fga,total_zone_fga,u10_fga,o10_fg2a,fg3a,p_exp_efgpct,act_efgpct,efg_above_position,efg_above_league,u10_fgpct_p_diff,o10_fg2pct_p_diff,fg3pct_p_diff,ptv_raw
draymond-green,Draymond Green,2014,427,427,181,87,159,0.4906,0.4906,0.0,-0.0733,0.0,0.0,0.0,0.0
drew-gooden,Drew Gooden,2014,128,128,50,61,17,0.5977,0.5977,0.0,0.0816,0.0,0.0,0.0,0.0
dwight-buycks,Dwight Buycks,2014,44,44,13,14,17,0.3977,0.3977,0.0,-0.1043,0.0,0.0,0.0,0.0
dwight-howard,Dwight Howard,2014,719,719,698,14,7,0.6592,0.6592,0.0,0.0675,0.0,0.0,0.0,0.0
dwyane-wade,Dwyane Wade,2014,734,734,408,294,32,0.5688,0.5688,0.0,0.0407,0.0,0.0,0.0,0.0
e-twaun-moore,E'Twaun Moore,2014,423,423,146,118,159,0.5201,0.5201,0.0,-0.0025,0.0,0.0,0.0,0.0
earl-clark,Earl Clark,2014,246,246,54,71,121,0.4776,0.4776,0.0,-0.0427,0.0,0.0,0.0,0.0
earl-watson,Earl Watson,2014,10,10,2,2,6,0.4,0.4,0.0,-0.1182,0.0,0.0,0.0,0.0
ed-davis,Ed Davis,2014,263,263,195,68,0,0.5856,0.5856,0.0,-0.0015,0.0,0.0,,0.0
ekpe-udoh,Ekpe Udoh,2014,128,128,84,44,0,0.4453,0.4453,0.0,-0.1014,0.0,0.0,,0.0
elias-harris,Elias Harris,2014,1,1,1,0,0,0.0,0.0,0.0,-0.502,0.0,,,0.0
elliot-williams,Elliot Williams,2014,306,306,144,38,124,0.518,0.518,0.0,-0.0528,0.0,0.0,0.0,0.0
elton-brand,Elton Brand,2014,315,315,128,185,2,0.5587,0.5587,0.0,0.0489,0.0,0.0,0.0,0.0
enes-freedom,Enes Freedom,2014,779,779,507,271,1,0.5379,0.5379,0.0,0.0053,0.0,0.0,0.0,0.0
enes-kanter,Enes Kanter,2014,779,779,507,271,1,0.5379,0.5379,0.0,0.0053,0.0,0.0,0.0,0.0
eric-bledsoe,Eric Bledsoe,2014,525,525,229,157,139,0.5486,0.5486,0.0,0.021,0.0,0.0,0.0,0.0
eric-gordon,Eric Gordon,2014,751,751,321,177,253,0.5393,0.5393,0.0,0.0081,0.0,0.0,0.0,0.0
eric-maynor,Eric Maynor,2014,98,98,24,37,37,0.3878,0.3878,0.0,-0.1038,0.0,0.0,0.0,0.0
erik-murphy,Erik Murphy,2014,12,12,4,5,3,0.25,0.25,0.0,-0.2692,0.0,0.0,0.0,0.0
ersan-ilyasova,Ersan Ilyasova,2014,538,538,198,212,128,0.4619,0.4619,0.0,-0.0712,0.0,0.0,0.0,0.0
evan-fournier,Evan Fournier,2014,515,515,200,79,236,0.5272,0.5272,0.0,-0.0263,0.0,0.0,0.0,0.0
evan-turner,Evan Turner,2014,910,910,356,400,154,0.5033,0.5033,0.0,0.007,0.0,0.0,0.0,0.0
francisco-garcia,Francisco Garcia,2014,280,280,53,35,192,0.5446,0.5446,0.0,0.0064,0.0,0.0,0.0,0.0
gal-mekel,Gal Mekel,2014,77,77,37,20,20,0.4221,0.4221,0.0,-0.0997,0.0,0.0,0.0,0.0
garrett-temple,Garrett Temple,2014,134,134,37,68,29,0.403,0.403,0.0,-0.0865,0.0,0.0,0.0,0.0
gary-neal,Gary Neal,2014,447,447,74,196,177,0.5011,0.5011,0.0,0.0293,0.0,0.0,0.0,0.0
george-hill,George Hill,2014,582,582,169,154,259,0.5473,0.5473,0.0,0.0174,0.0,0.0,0.0,0.0
gerald-green,Gerald Green,2014,981,981,175,297,509,0.5596,0.5596,0.0,0.0405,0.0,0.0,0.0,0.0
gerald-henderson,Gerald Henderson,2014,883,883,237,533,113,0.4723,0.4723,0.0,0.0112,0.0,0.0,0.0,0.0
gerald-wallace,Gerald Wallace,2014,213,213,134,16,63,0.5892,0.5892,0.0,-0.0019,0.0,0.0,0.0,0.0
giannis-antetokounmpo,Giannis Antetokounmpo,2014,387,387,210,60,117,0.4974,0.4974,0.0,-0.0763,0.0,0.0,0.0,0.0
gigi-datome,Gigi Datome,2014,97,97,15,43,39,0.3866,0.3866,0.0,-0.1293,0.0,0.0,0.0,0.0
glen-davis,Glen Davis,2014,542,542,230,302,10,0.5037,0.5037,0.0,0.0126,0.0,0.0,0.0,0.0
glen-rice,Glen Rice,2014,36,36,10,9,17,0.375,0.375,0.0,-0.1677,0.0,0.0,0.0,0.0
goran-dragic,Goran Dragic,2014,1033,1033,449,287,297,0.5934,0.5934,0.0,0.0647,0.0,0.0,0.0,0.0
gordon-hayward,Gordon Hayward,2014,978,978,287,415,276,0.479,0.479,0.0,-0.0325,0.0,0.0,0.0,0.0
gorgui-dieng,Gorgui Dieng,2014,206,206,153,52,1,0.551,0.551,0.0,-0.037,0.0,0.0,0.0,0.0
greg-monroe,Greg Monroe,2014,907,907,751,155,1,0.5557,0.5557,0.0,-0.0047,0.0,0.0,0.0,0.0
greg-oden,Greg Oden,2014,44,44,40,4,0,0.6136,0.6136,0.0,-0.0416,0.0,0.0,,0.0
greg-smith,Greg Smith,2014,22,22,22,0,0,0.8182,0.8182,0.0,0.1737,0.0,,,0.0
greg-stiemsma,Greg Stiemsma,2014,112,112,89,22,1,0.625,0.625,0.0,0.019,0.0,0.0,0.0,0.0
greivis-vasquez,Greivis Vasquez,2014,611,611,203,123,285,0.5344,0.5344,0.0,0.0136,0.0,0.0,0.0,0.0
gustavo-ayon,Gustavo Ayon,2014,86,86,73,13,0,0.5814,0.5814,0.0,-0.0404,0.0,0.0,,0.0
hamady-ndiaye,Hamady Ndiaye,2014,7,7,6,1,0,0.4286,0.4286,0.0,-0.2152,0.0,0.0,,0.0
harrison-barnes,Harrison Barnes,2014,628,628,258,183,187,0.4793,0.4793,0.0,-0.053,0.0,0.0,0.0,0.0
hasheem-thabeet,Hasheem Thabeet,2014,22,22,13,9,0,0.5909,0.5909,0.0,0.026,0.0,0.0,,0.0
hedo-turkoglu,Hedo Turkoglu,2014,102,102,22,31,49,0.5196,0.5196,0.0,-0.016,0.0,0.0,0.0,0.0
henry-sims,Henry Sims,2014,253,253,162,90,1,0.5138,0.5138,0.0,-0.0424,0.0,0.0,0.0,0.0
hilton-armstrong,Hilton Armstrong,2014,17,17,10,7,0,0.5294,0.5294,0.0,-0.0564,0.0,0.0,,0.0
hollis-thompson,Hollis Thompson,2014,351,351,126,59,166,0.5826,0.5826,0.0,0.0173,0.0,0.0,0.0,0.0
ian-clark,Ian Clark,2014,62,62,18,13,31,0.5081,0.5081,0.0,-0.0262,0.0,0.0,0.0,0.0
ian-mahinmi,Ian Mahinmi,2014,166,166,130,35,1,0.5482,0.5482,0.0,-0.0434,0.0,0.0,0.0,0.0
iman-shumpert,Iman Shumpert,2014,468,468,105,136,227,0.4722,0.4722,0.0,-0.0542,0.0,0.0,0.0,0.0
isaiah-canaan,Isaiah Canaan,2014,81,81,19,7,55,0.4938,0.4938,0.0,-0.0395,0.0,0.0,0.0,0.0
isaiah-thomas,Isaiah Thomas,2014,1022,1022,342,324,356,0.5391,0.5391,0.0,0.0395,0.0,0.0,0.0,0.0
ish-smith,Ish Smith,2014,262,262,172,67,23,0.4561,0.4561,0.0,-0.0721,0.0,0.0,0.0,0.0
j-j-barea,J.J. Barea,2014,610,610,247,136,227,0.4746,0.4746,0.0,-0.0392,0.0,0.0,0.0,0.0
jae-crowder,Jae Crowder,2014,283,283,79,54,150,0.5477,0.5477,0.0,-0.0289,0.0,0.0,0.0,0.0
jamaal-franklin,Jamaal Franklin,2014,36,36,11,14,11,0.5139,0.5139,0.0,-0.0198,0.0,0.0,0.0,0.0
jamaal-tinsley,Jamaal Tinsley,2014,18,18,2,1,15,0.25,0.25,0.0,-0.2861,0.0,0.0,0.0,0.0
jamal-crawford,Jamal Crawford,2014,993,993,198,352,443,0.505,0.505,0.0,0.0136,0.0,0.0,0.0,0.0
jameer-nelson,Jameer Nelson,2014,711,711,191,133,387,0.5091,0.5091,0.0,-0.0062,0.0,0.0,0.0,0.0
james-anderson,James Anderson,2014,678,678,251,77,350,0.5406,0.5406,0.0,-0.034,0.0,0.0,0.0,0.0
james-harden,James Harden,2014,1142,1142,398,264,480,0.5574,0.5574,0.0,0.0379,0.0,0.0,0.0,0.0
james-johnson,James Johnson,2014,287,287,167,33,87,0.5366,0.5366,0.0,-0.0184,0.0,0.0,0.0,0.0
james-jones,James Jones,2014,66,66,3,10,53,0.6818,0.6818,0.0,0.165,0.0,0.0,0.0,0.0
james-nunnally,James Nunnally,2014,43,43,13,7,23,0.3837,0.3837,0.0,-0.1852,0.0,0.0,0.0,0.0
james-southerland,James Southerland,2014,15,15,1,8,6,0.4333,0.4333,0.0,-0.0488,0.0,0.0,0.0,0.0
jan-vesely,Jan Vesely,2014,156,156,137,19,0,0.5705,0.5705,0.0,-0.1022,0.0,0.0,,0.0
jannero-pargo,Jannero Pargo,2014,114,114,6,49,59,0.5614,0.5614,0.0,0.0988,0.0,0.0,0.0,0.0
jared-cunningham,Jared Cunningham,2014,18,18,6,5,7,0.3611,0.3611,0.0,-0.1886,0.0,0.0,0.0,0.0
jared-dudley,Jared Dudley,2014,429,429,54,150,225,0.5513,0.5513,0.0,0.0156,0.0,0.0,0.0,0.0
