entity_id,season_year,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz,data_source,confidence
2555,2018,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0625,,0.0,10.0,0.625,0.0,0.0,0.0,16,nba_shotzone_only,low
2561,2018,6.0,2.0,0.0163,0.3333,0.0,0.0,14.0,6.0,0.0381,,1.0,157.0,0.4305,7.0,3.0,0.0218,367,nba_shotzone_only,low
2570,2018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1,nba_shotzone_only,low
2585,2018,1.0,0.0,0.0044,0.0,0.0,0.0,7.0,3.0,0.0308,,0.0,132.0,0.5815,1.0,0.0,0.0044,227,nba_shotzone_only,low
2594,2018,240.0,116.0,0.5139,0.4833,6.0,2.0,2.0,1.0,0.0171,0.3333,89.0,29.0,0.2527,124.0,61.0,0.7837,467,nba_shotzone_only,low
2617,2018,8.0,1.0,0.5333,0.125,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0667,6.0,1.0,0.5333,15,nba_shotzone_only,low
2730,2018,6.0,1.0,0.0072,0.1667,0.0,0.0,129.0,72.0,0.1552,,1.0,617.0,0.7437,6.0,1.0,0.0084,831,nba_shotzone_only,low
2731,2018,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0119,,0.0,47.0,0.5595,0.0,0.0,0.0,84,nba_shotzone_only,low
2733,2018,1.0,0.0,0.0031,0.0,0.0,0.0,25.0,10.0,0.0769,,2.0,89.0,0.28,1.0,0.0,0.0154,325,nba_shotzone_only,low
2734,2018,129.0,52.0,0.3057,0.4031,50.0,15.0,66.0,33.0,0.2749,0.3,30.0,131.0,0.3815,107.0,44.0,0.5261,422,nba_shotzone_only,low
2736,2018,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.5,,0.0,2.0,1.0,0.0,0.0,0.0,2,nba_shotzone_only,low
2738,2018,83.0,20.0,0.2695,0.241,9.0,3.0,38.0,27.0,0.1526,0.3333,11.0,91.0,0.3312,64.0,12.0,0.3799,308,nba_shotzone_only,low
2744,2018,2.0,0.0,0.0106,0.0,0.0,0.0,15.0,8.0,0.0794,,1.0,104.0,0.5556,1.0,0.0,0.0159,189,nba_shotzone_only,low
2746,2018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.75,0.0,0.0,0.0,4,nba_shotzone_only,low
2747,2018,242.0,101.0,0.4116,0.4174,23.0,8.0,55.0,29.0,0.1327,0.3478,80.0,73.0,0.2602,137.0,52.0,0.6463,588,nba_shotzone_only,low
2749,2018,68.0,24.0,0.2894,0.3529,33.0,12.0,25.0,18.0,0.2468,0.3636,9.0,31.0,0.1702,60.0,18.0,0.5277,235,nba_shotzone_only,low
2754,2018,10.0,4.0,0.125,0.4,0.0,0.0,8.0,5.0,0.1,,2.0,52.0,0.675,8.0,4.0,0.15,80,nba_shotzone_only,low
2772,2018,317.0,132.0,0.5032,0.4164,11.0,2.0,38.0,21.0,0.0778,0.1818,78.0,129.0,0.3286,223.0,93.0,0.7317,630,nba_shotzone_only,low
2863,2018,16.0,4.0,0.4103,0.25,0.0,0.0,6.0,2.0,0.1538,,1.0,11.0,0.3077,9.0,2.0,0.4615,39,nba_shotzone_only,low
101106,2018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,0.7083,0.0,0.0,0.0,24,nba_shotzone_only,low
101107,2018,285.0,118.0,0.5278,0.414,0.0,0.0,15.0,11.0,0.0278,,12.0,143.0,0.287,188.0,86.0,0.5648,540,nba_shotzone_only,low
101108,2018,61.0,25.0,0.0782,0.4098,256.0,96.0,113.0,66.0,0.4731,0.375,58.0,83.0,0.1808,107.0,38.0,0.4808,780,nba_shotzone_only,low
101109,2018,130.0,52.0,0.2549,0.4,50.0,15.0,91.0,55.0,0.2765,0.3,23.0,95.0,0.2314,124.0,46.0,0.4392,510,nba_shotzone_only,low
101112,2018,102.0,37.0,0.4904,0.3627,0.0,0.0,7.0,6.0,0.0337,,6.0,45.0,0.2452,71.0,28.0,0.5385,208,nba_shotzone_only,low
101123,2018,165.0,67.0,0.4064,0.4061,42.0,21.0,22.0,9.0,0.1576,0.5,80.0,47.0,0.3128,99.0,45.0,0.7315,406,nba_shotzone_only,low
101127,2018,38.0,12.0,0.0909,0.3158,26.0,7.0,95.0,52.0,0.2895,0.2692,18.0,99.0,0.2799,38.0,16.0,0.201,418,nba_shotzone_only,low
101133,2018,2.0,0.0,0.009,0.0,0.0,0.0,4.0,3.0,0.0181,,0.0,182.0,0.8235,1.0,0.0,0.009,221,nba_shotzone_only,low
101139,2018,281.0,104.0,0.487,0.3701,11.0,4.0,24.0,9.0,0.0607,0.3636,135.0,77.0,0.3674,133.0,56.0,0.7747,577,nba_shotzone_only,low
101141,2018,181.0,72.0,0.3073,0.3978,4.0,0.0,9.0,7.0,0.0221,0.0,43.0,181.0,0.3803,102.0,37.0,0.4295,589,nba_shotzone_only,low
101150,2018,188.0,71.0,0.1516,0.3777,143.0,48.0,267.0,158.0,0.3306,0.3357,121.0,353.0,0.3823,149.0,55.0,0.4073,1240,nba_shotzone_only,low
101161,2018,30.0,10.0,0.1288,0.3333,0.0,0.0,7.0,3.0,0.03,,0.0,165.0,0.7082,28.0,10.0,0.1373,233,nba_shotzone_only,low
101162,2018,0.0,0.0,0.0,,0.0,0.0,21.0,8.0,0.0414,,0.0,336.0,0.6627,0.0,0.0,0.0,507,nba_shotzone_only,low
101181,2018,63.0,31.0,0.3559,0.4921,17.0,6.0,25.0,20.0,0.2373,0.3529,12.0,24.0,0.2034,48.0,25.0,0.548,177,nba_shotzone_only,low
200746,2018,74.0,23.0,0.0568,0.3108,1.0,1.0,144.0,72.0,0.1113,1.0,10.0,535.0,0.4183,65.0,20.0,0.0698,1303,nba_shotzone_only,low
200752,2018,89.0,29.0,0.1738,0.3258,13.0,3.0,80.0,40.0,0.1816,0.2308,11.0,187.0,0.3867,63.0,22.0,0.2305,512,nba_shotzone_only,low
200755,2018,242.0,111.0,0.2891,0.4587,24.0,7.0,20.0,10.0,0.0526,0.2917,105.0,70.0,0.2091,185.0,92.0,0.5352,837,nba_shotzone_only,low
200757,2018,77.0,29.0,0.3484,0.3766,1.0,0.0,22.0,12.0,0.1041,0.0,2.0,77.0,0.3575,67.0,24.0,0.3756,221,nba_shotzone_only,low
200765,2018,104.0,31.0,0.2246,0.2981,24.0,12.0,164.0,96.0,0.406,0.5,0.0,195.0,0.4212,121.0,41.0,0.324,463,nba_shotzone_only,low
200768,2018,258.0,110.0,0.2883,0.4264,167.0,70.0,152.0,93.0,0.3564,0.4192,139.0,169.0,0.3441,201.0,95.0,0.6559,895,nba_shotzone_only,low
200782,2018,288.0,109.0,0.6841,0.3785,3.0,0.0,23.0,8.0,0.0618,0.0,8.0,71.0,0.1876,228.0,84.0,0.7268,421,nba_shotzone_only,low
200794,2018,89.0,33.0,0.2225,0.3708,4.0,0.0,53.0,29.0,0.1425,0.0,7.0,155.0,0.405,65.0,26.0,0.2725,400,nba_shotzone_only,low
200826,2018,117.0,58.0,0.1757,0.4957,123.0,34.0,174.0,104.0,0.4459,0.2764,22.0,173.0,0.2928,144.0,57.0,0.47,666,nba_shotzone_only,low
201142,2018,157.0,75.0,0.1338,0.4777,135.0,43.0,105.0,64.0,0.2046,0.3185,143.0,234.0,0.3214,84.0,48.0,0.347,1173,nba_shotzone_only,low
201143,2018,204.0,85.0,0.2944,0.4167,1.0,1.0,85.0,45.0,0.1241,1.0,3.0,261.0,0.381,179.0,78.0,0.3074,693,nba_shotzone_only,low
201144,2018,25.0,9.0,0.1562,0.36,26.0,6.0,45.0,26.0,0.4438,0.2308,10.0,41.0,0.3188,31.0,11.0,0.4812,160,nba_shotzone_only,low
201145,2018,144.0,49.0,0.2483,0.3403,8.0,1.0,92.0,43.0,0.1724,0.125,10.0,274.0,0.4897,116.0,40.0,0.2931,580,nba_shotzone_only,low
201147,2018,93.0,30.0,0.3196,0.3226,2.0,0.0,40.0,20.0,0.1443,0.0,8.0,114.0,0.4192,56.0,15.0,0.378,291,nba_shotzone_only,low
201148,2018,0.0,0.0,0.0,,0.0,0.0,6.0,3.0,0.0632,,0.0,71.0,0.7474,0.0,0.0,0.0,95,nba_shotzone_only,low
201149,2018,0.0,0.0,0.0,,0.0,0.0,3.0,2.0,0.3,,0.0,10.0,1.0,0.0,0.0,0.0,10,nba_shotzone_only,low
201152,2018,165.0,54.0,0.2068,0.3273,2.0,1.0,95.0,56.0,0.1216,0.5,5.0,445.0,0.5639,148.0,46.0,0.2268,798,nba_shotzone_only,low
201156,2018,161.0,68.0,0.3361,0.4224,27.0,9.0,10.0,6.0,0.0772,0.3333,100.0,36.0,0.2839,83.0,34.0,0.6764,479,nba_shotzone_only,low
201158,2018,212.0,85.0,0.29,0.4009,28.0,10.0,20.0,7.0,0.0657,0.3571,112.0,92.0,0.2791,125.0,50.0,0.5294,731,nba_shotzone_only,low
201160,2018,29.0,2.0,0.2788,0.069,0.0,0.0,1.0,0.0,0.0096,,0.0,24.0,0.2308,23.0,1.0,0.2788,104,nba_shotzone_only,low
201162,2018,67.0,26.0,0.5726,0.3881,0.0,0.0,2.0,2.0,0.0171,,10.0,19.0,0.2479,38.0,14.0,0.6838,117,nba_shotzone_only,low
201163,2018,166.0,60.0,0.273,0.3614,14.0,4.0,105.0,57.0,0.1957,0.2857,56.0,225.0,0.4622,62.0,27.0,0.4046,608,nba_shotzone_only,low
201166,2018,13.0,8.0,0.2,0.6154,12.0,2.0,17.0,7.0,0.4462,0.1667,3.0,18.0,0.3231,13.0,6.0,0.4615,65,nba_shotzone_only,low
201167,2018,50.0,22.0,0.3247,0.44,0.0,0.0,7.0,3.0,0.0455,,12.0,21.0,0.2143,24.0,8.0,0.4481,154,nba_shotzone_only,low
201177,2018,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1,nba_shotzone_only,low
201188,2018,302.0,106.0,0.3066,0.351,1.0,0.0,44.0,23.0,0.0457,0.0,6.0,278.0,0.2883,271.0,98.0,0.3218,985,nba_shotzone_only,low
