iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
98,Jaylen Brown,wing,2024,22009.0,0.13,0.128,0.318,0.309,0.917,-0.39,0.65,-0.49,0.75,-0.27,0.52,-0.48,0.73,-0.44,0.7,-0.74,1.0,-0.62,0.88,1.25,1.21,1.74,1.0,0.66,0.0,0.0,0.0,0.0,10,1.113,3.339,0.086,0.186,0.28,86,4,174,A,B,-0.36
99,Larry Nance,guard,2024,12271.0,-0.16,-0.11,0.319,0.29,0.86,-0.69,0.37,-0.79,0.47,-0.48,0.26,-0.68,0.46,-0.66,0.44,-0.95,0.74,-0.86,0.64,1.25,1.14,1.69,1.0,0.353,0.0,0.0,0.0,0.0,10,0.449,2.5,0.055,0.147,0.224,91,4,174,A,A+,-0.39
100,Jordan Clarkson,guard,2024,18746.0,0.37,0.354,0.515,0.494,0.904,-0.48,1.22,-0.64,1.38,-0.28,0.99,-0.62,1.32,-0.56,1.27,-1.04,1.75,-0.4,1.1,2.02,1.94,2.8,1.0,0.763,0.01,0.0,0.0,0.0,12,1.661,4.983,0.057,0.134,0.206,91,4,174,A,C,-0.391
101,Tyrese Haliburton,guard,2024,17616.0,0.1,0.11,0.398,0.383,0.898,-0.55,0.75,-0.68,0.88,-0.38,0.6,-0.64,0.86,-0.6,0.82,-0.97,1.19,-0.64,0.86,1.56,1.5,2.16,1.0,0.613,0.0,0.0,0.0,0.0,5,1.244,3.733,0.022,0.089,0.152,94,6,177,A,B,-0.455
102,Derrick Rose,guard,2024,7950.0,0.4,0.36,0.805,0.734,0.799,-0.92,1.72,-1.18,1.98,-0.58,1.3,-1.08,1.8,-1.04,1.76,-1.78,2.5,-0.39,1.11,3.16,2.88,4.27,0.999,0.688,0.06,0.0,0.0,0.0,14,1.692,5.075,0.0,0.0,0.0,106,79,114,B,C,-0.515
103,Jaren Jackson,guard,2024,16339.0,0.22,0.218,0.544,0.519,0.891,-0.67,1.11,-0.85,1.29,-0.45,0.88,-0.8,1.24,-0.75,1.18,-1.26,1.69,-0.53,0.97,2.13,2.04,2.95,1.0,0.663,0.007,0.0,0.0,0.0,8,1.638,4.915,0.011,0.011,0.016,104,27,135,B,C,-0.533
104,Kevin Love,guard,2024,12441.0,0.1,0.114,0.519,0.49,0.862,-0.75,0.95,-0.92,1.12,-0.51,0.74,-0.85,1.08,-0.8,1.03,-1.29,1.51,-0.64,0.86,2.03,1.92,2.8,1.0,0.592,0.002,0.0,0.0,0.0,17,1.365,4.094,0.0,0.0,0.042,96,30,166,A,B,-0.54
105,Dyson Daniels,guard,2024,4843.0,0.33,0.292,0.969,0.841,0.708,-1.26,1.92,-1.57,2.23,-0.79,1.37,-1.36,1.94,-1.35,1.94,-2.22,2.81,-0.46,1.04,3.8,3.3,5.03,0.997,0.636,0.075,0.0,0.0,0.0,4,1.589,4.767,0.024,0.089,0.17,89,6,177,B,C,-0.605
106,Kyle Lowry,guard,2024,18575.0,0.45,0.426,0.718,0.687,0.903,-0.73,1.63,-0.96,1.86,-0.46,1.31,-0.92,1.77,-0.85,1.7,-1.52,2.37,-0.32,1.18,2.81,2.69,3.9,1.0,0.732,0.059,0.0,0.0,0.0,19,2.306,6.917,0.024,0.091,0.157,94,6,177,B,D,-0.609
107,Tyrese Maxey,guard,2024,16284.0,-0.02,0.004,0.453,0.433,0.891,-0.76,0.72,-0.91,0.87,-0.55,0.56,-0.84,0.85,-0.8,0.81,-1.22,1.23,-0.75,0.75,1.77,1.7,2.46,1.0,0.504,0.0,0.0,0.0,0.0,6,1.361,4.084,0.003,0.003,0.059,125,18,173,A,B,-0.621
